Model Name,Params,Timesteps,Average Step Time,Average Rewards (Step),Reward Variance (Step),Average Rewards (Episode),Average Observations Per Episode,Success Rate,Result Folder,Actor Loss,Critic Loss,KL Divergence
TRPO3,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.005, 'state_dim': 3, 'action_dim': 1}",1280000,6.89944289624691e-05,-6.30513584959974,12.597655898058475,-1261.027169919921,200.0,0.0,results/TRPO3_20241229_170055,,,
TRPO3,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [128, 128], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",1280000,7.108823005110025e-05,-6.28138242228964,12.542077830877604,-1256.2764844579046,200.0,0.0,results/TRPO3_20241229_170354,,,
TRPO3,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [128, 128], 'kl_threshold': 0.005, 'state_dim': 3, 'action_dim': 1}",1280000,7.313449457287789e-05,-6.508113748440627,11.11861253047761,-1301.622749688056,200.0,0.0,results/TRPO3_20241229_170700,,,
TRPO3,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.0001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",1280000,6.539406925439835e-05,-6.883803346855045,9.602497313073057,-1376.7606693709777,200.0,0.0,results/TRPO3_20241229_170931,,,
TRPO3,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.0001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.005, 'state_dim': 3, 'action_dim': 1}",1280000,6.577556077390909e-05,-5.985270445618872,14.548506460002775,-1197.0540891237893,200.0,0.0,results/TRPO3_20241229_171205,,,
TRPO3,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.0001, 'hidden_sizes': [128, 128], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",1280000,7.138889655470849e-05,-5.973119927893275,15.005924884912003,-1194.62398557856,200.0,0.0,results/TRPO3_20241229_171505,,,
TRPO3,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.0001, 'hidden_sizes': [128, 128], 'kl_threshold': 0.005, 'state_dim': 3, 'action_dim': 1}",1280000,7.14730829000473e-05,-5.943237641535045,15.05987500947682,-1188.6475283070258,200.0,0.0,results/TRPO3_20241229_171807,,,
TRPO3,"{'device': None, 'gamma': 0.95, 'lam': 0.95, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",1280000,6.589939948171377e-05,-6.134934684890413,13.008390213244166,-1226.986936978124,200.0,0.0,results/TRPO3_20241229_172040,,,
TRPO3,"{'device': None, 'gamma': 0.95, 'lam': 0.95, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.005, 'state_dim': 3, 'action_dim': 1}",1280000,6.620023921132087e-05,-6.056770409278617,14.051269608426214,-1211.3540818557608,200.0,0.0,results/TRPO3_20241229_172314,,,
TRPO3,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",1280000,7.551475241780281e-05,-5.9785590166124845,15.485379150215662,-1195.7118033225229,200.0,0.0,results/TRPO3_20241229_172707,-360.4705459499359,49.997622604370115,0.0
TRPO3,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.005, 'state_dim': 3, 'action_dim': 1}",1280000,6.614385638386011e-05,-6.033939287833029,14.29847624936368,-1206.787857566604,200.0,0.0,results/TRPO3_20241229_172940,-22.35138002641499,49.38385269165039,0.0
TRPO3,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",1280000,6.892546489834785e-05,-6.23471266477353,12.816139915838942,-1246.94253295474,200.0,0.00015625,results/TRPO3_20241229_173338,-8.994247459173202,50.56908447265625,0.0
TRPO3,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.005, 'state_dim': 3, 'action_dim': 1}",1280000,6.921888124197722e-05,-6.315817784855062,12.402765859340768,-1263.1635569710331,200.0,0.00140625,results/TRPO3_20241229_173615,-24.247494752407075,51.28345268249512,0.0
TRPO3,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [128, 128], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",1280000,7.344875764101743e-05,-6.38461316697837,11.948736401223274,-1276.9226333956576,200.0,0.0009375,results/TRPO3_20241229_173917,-1.0339499628543853,49.6631778717041,0.0
TRPO,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1207.5418798277406,200.0,0.0,results/TRPO_20241229_163953
TRPO,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.005, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1196.2059646761438,200.0,0.0,results/TRPO_20241229_164746
TRPO,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [128, 128], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1330.8168624164946,200.0,0.0,results/TRPO_20241229_165543
TRPO,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.001, 'hidden_sizes': [128, 128], 'kl_threshold': 0.005, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1309.8789285927246,200.0,0.0,results/TRPO_20241229_170338
TRPO,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.0001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1240.3486550906675,200.0,0.0,results/TRPO_20241229_171129
TRPO,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.0001, 'hidden_sizes': [64, 64], 'kl_threshold': 0.005, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1208.1702198900182,200.0,0.0,results/TRPO_20241229_171922
TRPO,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.0001, 'hidden_sizes': [128, 128], 'kl_threshold': 0.01, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1185.2017430011445,200.0,0.0,results/TRPO_20241229_172731
TRPO,"{'device': None, 'gamma': 0.95, 'lam': 0.9, 'critic_lr': 0.0001, 'hidden_sizes': [128, 128], 'kl_threshold': 0.005, 'state_dim': 3, 'action_dim': 1}",0,0.0,0.0,0.0,-1303.4560630926762,200.0,0.0,results/TRPO_20241229_173542
